cause,cause_remapped,fcm_cause_remapped,effect,fcm_effect_remapped,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer,direction,net_effect
cbam applies following,CBAM sector coverage,CBAM sector coverage,low carbon cement,low carbon cement,effect,0.6163113,0.5735,"[('cbam', 0.5638), ('cement', 0.4579), ('hydrogen', 0.3494), ('goods', 0.2904), ('fertilisers', 0.2508), ('cbam', 0.5638), ('cement hydrogen', 0.5037), ('goods iron', 0.4378), ('fertilisers electricity', 0.3694), ('applies following', 0.1722), ('cbam applies following', 0.5735), ('electricity cement hydrogen', 0.5236), ('aluminium fertilisers', 0.4738), ('following goods iron', 0.4243), ('applies', 0.0931)]",0.7472420334815979,0.5,"which goods and industries are covered by cbam ? initially, cbam applies to the following goods : iron and steel aluminium fertilisers electricity cement hydrogen the eu has established a phased implementation : from october 2023 importers in the eu have been required to submit quarterly reports on the carbon emissions linked to imported goods (european commission).",0,0
enormous co2 costs,high carbon costs,high carbon costs,low carbon cement,low carbon cement,effect,0.121639386,0.9607,"[('co2', 0.7398), ('costs', 0.4927), ('enormous', 0.2322), ('co2 costs', 0.8685), ('enormous co2', 0.7669), ('co2', 0.7398), ('costs', 0.4927), ('enormous', 0.2322), ('enormous co2 costs', 0.9607), ('enormous co2', 0.7669), ('co2', 0.7398), ('costs', 0.4927), ('enormous', 0.2322)]",0.7615283131599426,0.5,"the free allocation for installations in the eu ets that produce these cbam goods will then gradually decrease accordingly, resulting in enormous co2 costs for european manufacturers of steel, aluminum, cement and fertilizers, which will burden them and their customers.",0,0
co2 emissions,insufficient decarbonization investment,insufficient decarbonization investment,low carbon cement,low carbon cement,decrease,0.1155703,0.9648,"[('co2', 0.8018), ('emissions', 0.7738), ('co2 emissions', 0.9648), ('co2', 0.8018), ('emissions', 0.7738), ('co2 emissions', 0.9648), ('co2', 0.8018), ('emissions', 0.7738)]",0.7412978410720825,-1,"5bn, of which none have been invested to modernize the european assets and decrease the co2 emissions, "" said vincent lefebvre, president and founder of cem ' in ' eu.",-1,0.1155702993273735
climate targets,net-zero targets,net-zero targets,low carbon cement,low carbon cement,increase,0.24329022,0.8814,"[('climate', 0.6492), ('targets', 0.5031), ('climate targets', 0.8814), ('climate', 0.6492), ('targets', 0.5031), ('climate targets', 0.8814), ('climate', 0.6492), ('targets', 0.5031)]",0.684776247,1,"along its manufacturing and downstream value chain, the cement industry is an indispensable contributor to making the european union achieve its climate targets.",1,0.24329021573066711
unfair head start,regional climate solutions,regional climate solutions,low carbon cement,low carbon cement,increase,0.7567098,0.9678,"[('head', 0.6061), ('unfair', 0.4832), ('start', 0.4411), ('head start', 0.8071), ('unfair head', 0.7966), ('head', 0.6061), ('unfair', 0.4832), ('start', 0.4411), ('unfair head start', 0.9678), ('head start', 0.8071), ('head', 0.6061), ('unfair', 0.4832), ('start', 0.4411)]",0.7563554048538208,1,"a regional solution leveraged through an unfair head start, however, might cause progress to falter where it is most needed in the global fight against climate change.",1,0.7567098140716553
optimisation levers,technological innovation,technological innovation,low carbon cement,low carbon cement,increase,0.4408784,0.8943,"[('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005), ('optimisation levers', 0.8943), ('levers', 0.6971), ('optimisation', 0.5005)]",0.7961016297340393,-1,"in one year, we decrease our carbon footprint by 25 % thanks to the optimisation of all levers (clinker selection, logistics, cement recipes and packaging).",-1,0.44087839126586914
competitive access,access to low-carbon energy sources,access to low-carbon energy sources,low carbon infrastructure,low carbon infrastructure,effect,0.8990962,0.8446,"[('competitive', 0.5905), ('access', 0.5379), ('competitive access', 0.8446), ('competitive', 0.5905), ('access', 0.5379), ('competitive access', 0.8446), ('competitive', 0.5905), ('access', 0.5379)]",0.799889863,0.5,on infrastructure it called for competitive access to low carbon energy sources such as thermal biowaste and electricity.,0,0
thermal biowaste electricity,adoption of clean technology,adoption of clean technology,low carbon infrastructure,low carbon infrastructure,decrease,0.9153301,0.7027,"[('biowaste', 0.4179), ('electricity', 0.257), ('competitive', 0.2401), ('access', 0.1554), ('sources', 0.0791), ('thermal biowaste', 0.6227), ('low carbon', 0.48), ('energy sources', 0.4548), ('competitive', 0.2401), ('access low', 0.2045), ('thermal biowaste electricity', 0.7027), ('carbon energy sources', 0.6056), ('competitive access low', 0.3334), ('low', 0.1239), ('sources', 0.0791)]",0.7894309759140015,-1,on infrastructure it called for competitive access to low carbon energy sources such as thermal biowaste and electricity.,-1,0.9153301119804382
diverse technology mix,diverse low-carbon technology mix,diverse low-carbon technology mix,low carbon infrastructure,low carbon infrastructure,increase,0.99360645,0.9655,"[('technology', 0.5452), ('diverse', 0.5327), ('mix', 0.3388), ('diverse technology', 0.8959), ('technology mix', 0.8629), ('technology', 0.5452), ('diverse', 0.5327), ('mix', 0.3388), ('diverse technology mix', 0.9655), ('technology mix', 0.8629), ('technology', 0.5452), ('diverse', 0.5327), ('mix', 0.3388)]",0.7668284773826599,1,"however, a more diverse technology mix enables a lower cost (1 trillion less from now until 2050) and a more effective pathway to eu climate neutrality by 2050.",1,0.993606448
eu climate ambition,EU climate ambition,EU climate ambition,low carbon infrastructure,low carbon infrastructure,increase,0.7797355,0.953,"[('climate', 0.5605), ('eu', 0.4465), ('ambition', 0.3644), ('increased', 0.1205), ('eu climate', 0.7962), ('climate ambition', 0.7601), ('increased eu', 0.5375), ('ambition', 0.3644), ('increased', 0.1205), ('eu climate ambition', 0.953), ('climate', 0.5605), ('eu', 0.4465), ('ambition', 0.3644), ('increased', 0.1205)]",0.7838546633720398,1,"context the increased eu climate ambition and associated price signals from a revised eu ets will increase the need for an effective carbon leakage protection mechanism for the impacted eu ets sectors to incentivize emission reductions from a global perspective while avoiding deindustrialization, loss of investment and employment in the eu ; as well as ensure a level playing field for eu producers when competing domestically and on export markets.",1,0.7797355055809021
eu emissions trading,EU ETS reforms,EU ETS reforms,low carbon infrastructure,low carbon infrastructure,decrease,0.26728266,0.9413,"[('emissions', 0.657), ('eu', 0.4461), ('trading', 0.342), ('emissions trading', 0.8326), ('eu emissions', 0.8273), ('emissions', 0.657), ('eu', 0.4461), ('trading', 0.342), ('eu emissions trading', 0.9413), ('eu emissions', 0.8273), ('emissions', 0.657), ('eu', 0.4461), ('trading', 0.342)]",0.7680615186691284,-1,"unife expects other instruments, such as the carbon border adjustment mechanism (cbam) and the eu emissions trading system (ets) reform, to curb emissions while providing additional revenue to be invested in innovation and low carbon rail infrastructure that would further decrease the sector carbon footprint.",-1,0.2672826647758484
high energy costs,high energy costs,high energy costs,low carbon infrastructure,low carbon infrastructure,decrease,0.40970346,0.9497,"[('costs', 0.6201), ('energy', 0.6009), ('high', 0.3069), ('energy costs', 0.8282), ('high energy', 0.6855), ('costs', 0.6201), ('energy', 0.6009), ('high', 0.3069), ('high energy costs', 0.9497), ('high energy', 0.6855), ('costs', 0.6201), ('energy', 0.6009), ('high', 0.3069)]",0.7782233953475952,-1,"europe : high energy costs have suppressed steel production, and some companies have turned to low carbon technologies such as hydrogen metallurgy.",-1,0.40970346331596375
hydrogen european energy,hydrogen adoption,hydrogen adoption,low carbon infrastructure,low carbon infrastructure,effect,0.94891524,0.753,"[('hydrogen', 0.5258), ('europe', 0.2653), ('pathways', 0.1762), ('decarbonization', 0.0969), ('charts', 0.0525), ('hydrogen europe', 0.7219), ('agenda limits', 0.1987), ('decarbonization hard', 0.0933), ('supporting deployment', 0.084), ('mix cost', 0.0677), ('hydrogen european energy', 0.753), ('climate neutrality 2050', 0.3858), ('pathways technology diversity', 0.3096), ('decarbonizing', 0.0941), ('play supporting deployment', 0.0198)]",0.7364338040351868,0.5,"follow? "" hydrogen for europe "" study launch we are proud to announce the launch of the hydrogen for europe study, nearly two years after its inception ! the eu ' s ambition to reach climate neutrality by 2050 has recently pushed hydrogen at the top of the european energy policy agenda as the limits of electrification became clear alongside the need to find a solution for the decarbonization of hard to abate sectors. as europe prepares to roll out legislation aimed at accelerating the production of hydrogen, hydrogen for europe charts two potential pathways "" technology diversity "" and "" renewable push "" with an in depth look at their implications, based on actual european targets and transparent modelling frameworks. the research project looks at the technology mix, cost of the transition, and risks associated with different policy choices. it finds that the contribution of hydrogen to decarbonizing the eu ' s energy system can well exceed eu projections, with demand potentially exceeding 100 million tonnes of h2 by 2050. it also stressed the essential role played by low carbon hydrogen (which can be produced from natural gas in combination with ccs, or methane pyrolysis) can play in supporting the deployment of renewable hydrogen and the integration of higher volumes of renewable energy overall",0,0
clean homegrown energy,renewable energy adoption,renewable energy adoption,low carbon infrastructure,low carbon infrastructure,increase,0.21354446,0.6842,"[('electricity', 0.4443), ('clean', 0.2654), ('benefits', 0.2491), ('sectors', 0.2093), ('uk', 0.1988), ('homegrown energy', 0.6094), ('industries future', 0.3607), ('resource clean', 0.3178), ('transition uk', 0.2976), ('accelerate', 0.0552), ('clean homegrown energy', 0.6842), ('carbon industries future', 0.4916), ('transition uk', 0.2976), ('abundant', 0.1609), ('benefits rests ability', 0.1468)]",0.7833646535873413,1,"coal from british collieries once was the uk ' s dominant energy source, but clean homegrown energy from technologies such as wind and solar will power the low carbon industries of the future. realising these benefits rests on the ability of the energy and business sectors to work together to accelerate the transition. the uk has an abundant resource of clean electricity that can help reduce energy bills and make products manufactured here some of the lowest carbon goods in the world.",1,0.21354445815086365
carbon leakage,carbon leakage,carbon leakage,low carbon infrastructure,low carbon infrastructure,decrease,0.26728266,0.9675,"[('carbon', 0.613), ('leakage', 0.5971), ('carbon leakage', 0.9675), ('carbon', 0.613), ('leakage', 0.5971), ('carbon leakage', 0.9675), ('carbon', 0.613), ('leakage', 0.5971)]",0.7672955393791199,-1,a carbon border adjustment mechanism important to achieve a level playing field and decrease the risk of carbon leakage.,-1,0.2672826647758484
exports,CBAM coverage of exports,CBAM coverage of exports,protection against carbon leakage,protection against carbon leakage,decrease,0.6286688,0.9277,"[('exports', 0.9277), ('exports', 0.9277), ('exports', 0.9277)]",0.8491068482398987,-1,"why do we need an equal treatment between the ets and cbam sectors achieving a higher level of emission reduction ambition, requires mechanisms to strenghten carbon leakage protection and minimise negative impact on exports.",-1,0.6286687850952148
emissions displaced eu,emissions shifting,emissions shifting,protection against carbon leakage,protection against carbon leakage,decrease,0.2849682,0.6533,"[('climate', 0.4273), ('eu', 0.4033), ('imports', 0.3403), ('displaced', 0.2127), ('looser', 0.178), ('countries carbon', 0.5831), ('eu jurisdictions', 0.4948), ('pricing regimes', 0.3984), ('competitors meaning', 0.2511), ('displaced', 0.2127), ('emissions displaced eu', 0.6533), ('jurisdictions looser climate', 0.5812), ('imports countries', 0.5061), ('regimes undercut', 0.3324), ('competitors meaning', 0.2511)]",0.7914903163909912,-1,"this is the danger that imports from countries without carbon pricing regimes undercut their european competitors, meaning that production, and the resulting carbon emissions, are displaced from the eu to jurisdictions with looser climate regimes.",-1,0.28496819734573364
carbon border adjustment,EU CBAM,EU CBAM,protection against carbon leakage,protection against carbon leakage,increase,0.2668026,0.9338,"[('carbon', 0.4986), ('border', 0.3861), ('adjustment', 0.3294), ('mechanism', 0.2556), ('carbon border', 0.7845), ('border adjustment', 0.6555), ('adjustment mechanism', 0.4247), ('border', 0.3861), ('mechanism', 0.2556), ('carbon border adjustment', 0.9338), ('carbon', 0.4986), ('border', 0.3861), ('adjustment', 0.3294), ('mechanism', 0.2556)]",0.7133322358131409,1,further developing and strengthening of the european carbon policy can also be achieved through the introduction of a carbon border adjustment mechanism (cbam).,1,0.2668026089668274
carbon border tax,EU CBAM,EU CBAM,protection against carbon leakage,protection against carbon leakage,effect,0.2893588,0.676,"[('cbam', 0.4503), ('eu', 0.382), ('carbon', 0.376), ('tax', 0.284), ('adjustment', 0.1728), ('cbam eu', 0.5935), ('carbon leakage', 0.3918), ('tax reporting', 0.333), ('requirement commodities', 0.253), ('adjustment mechanism', 0.1774), ('carbon border tax', 0.676), ('cbam eu tool', 0.6241), ('requirement commodities imported', 0.3087), ('adjustment mechanism', 0.1774), ('leakage', 0.1185)]",0.7790440917015076,0.5,"the carbon border adjustment mechanism (cbam), eu ' s tool against carbon leakage, places a carbon border tax and a reporting requirement on some commodities imported into the eu in an effort to lower carbon emissions.",0,0
eu increases climate,EU climate ambition,EU climate ambition,protection against carbon leakage,protection against carbon leakage,increase,0.44613925,0.9091,"[('climate', 0.5093), ('eu', 0.4661), ('ambitions', 0.273), ('increases', 0.2211), ('climate ambitions', 0.6786), ('increases climate', 0.6608), ('eu increases', 0.6123), ('eu', 0.4661), ('ambitions', 0.273), ('eu increases climate', 0.9091), ('climate ambitions', 0.6786), ('eu', 0.4661), ('ambitions', 0.273), ('increases', 0.2211)]",0.819969893,1,this leakage is likely to increase over time if the eu increases its climate ambitions while other countries do not.,1,0.44613924622535706
climate ambition,global climate ambition,global climate ambition,protection against carbon leakage,protection against carbon leakage,effect,0.35412666,0.9318,"[('climate', 0.6502), ('ambition', 0.5579), ('higher', 0.2488), ('level', 0.2037), ('climate ambition', 0.9318), ('climate', 0.6502), ('level climate', 0.6091), ('ambition', 0.5579), ('higher level', 0.295), ('climate ambition', 0.9318), ('higher level climate', 0.6866), ('climate', 0.6502), ('ambition', 0.5579), ('higher level', 0.295)]",0.8060643672943115,0.5,a higher level of climate ambition should correspond to a higher level of carbon leakage protection.,0,0
eu carbon price,high carbon price,high carbon price,protection against carbon leakage,protection against carbon leakage,decrease,0.6718929,0.9004,"[('carbon', 0.4655), ('eu', 0.4111), ('price', 0.2979), ('increasingly', 0.249), ('higher', 0.2193), ('carbon price', 0.7717), ('eu carbon', 0.7291), ('higher eu', 0.5465), ('price', 0.2979), ('increasingly', 0.249), ('eu carbon price', 0.9004), ('higher eu', 0.5465), ('carbon', 0.4655), ('price', 0.2979), ('increasingly', 0.249)]",0.7951700687408447,-1,"facing the increasingly higher eu carbon price, eu companies might simply shift production and emissions offshore, causing carbon leakage.",-1,0.6718928813934326
eu carbon price,high carbon price,high carbon price,protection against carbon leakage,protection against carbon leakage,effect,0.2893588,0.9004,"[('carbon', 0.4655), ('eu', 0.4111), ('price', 0.2979), ('increasingly', 0.249), ('higher', 0.2193), ('carbon price', 0.7717), ('eu carbon', 0.7291), ('higher eu', 0.5465), ('price', 0.2979), ('increasingly', 0.249), ('eu carbon price', 0.9004), ('higher eu', 0.5465), ('carbon', 0.4655), ('price', 0.2979), ('increasingly', 0.249)]",0.7991176843643188,0.5,"facing the increasingly higher eu carbon price, eu companies might simply shift production and emissions offshore, causing carbon leakage.",0,0
allowances co2 compensation,"removal of existing carbon protection (free allowances, carbon compensation)","removal of existing carbon protection (free allowances, carbon compensation)",protection against carbon leakage,protection against carbon leakage,effect,0.5339607,0.8903,"[('compensation', 0.5416), ('allowances', 0.5073), ('co2', 0.4544), ('replacing', 0.2454), ('free', 0.1825), ('allowances co2', 0.7715), ('co2 compensation', 0.7458), ('free allowances', 0.5607), ('compensation', 0.5416), ('replacing free', 0.4188), ('allowances co2 compensation', 0.8903), ('free allowances', 0.5607), ('compensation', 0.5416), ('co2', 0.4544), ('replacing free', 0.4188)]",0.7640025615692139,0.5,replacing free allowances and co2 compensation with a cbam would have severe effects on the entire european aluminium value chain and its customers.,0,0
carbon leakage protection,"removal of existing carbon protection (free allowances, carbon compensation)","removal of existing carbon protection (free allowances, carbon compensation)",protection against carbon leakage,protection against carbon leakage,decrease,0.17785801,0.6631,"[('cbam', 0.4982), ('carbon', 0.3879), ('leakage', 0.2906), ('transiting', 0.0834), ('degree', 0.0058), ('carbon leakage', 0.5734), ('cbam', 0.4982), ('breakthrough technologies', 0.3272), ('transiting sectors', 0.2676), ('protection necessary', 0.2636), ('carbon leakage protection', 0.6631), ('cbam', 0.4982), ('invest new breakthrough', 0.3105), ('transiting sectors', 0.2676), ('shall coincide decrease', 0.1477)]",0.7924268841743469,-1,"concerning the first aspect, the introduction of a cbam shall not coincide with a decrease in the existing degree of carbon leakage protection, necessary to allow transiting sectors to invest in new and breakthrough technologies, key for expanding their market potential and counteract low ambitious trading partners.",-1,0.17785800993442535
cbam,"removal of existing carbon protection (free allowances, carbon compensation)","removal of existing carbon protection (free allowances, carbon compensation)",protection against carbon leakage,protection against carbon leakage,increase,0.9792043,0.9292,"[('cbam', 0.9292), ('cbam', 0.9292), ('cbam', 0.9292)]",0.7605628371238708,1,we invite the european commission to reflect on scenarios in which cbam will adequately complement the necessary carbon leakage protection of highly exposed sectors like the one represented by euroalliages.,1,0.9792042970657349
blockchain technology,blockchain technology,blockchain technology,supply chain sustainability,supply chain sustainability,increase,0.97396356,0.8675,"[('blockchain', 0.788), ('technology', 0.5242), ('blockchain technology', 0.8675), ('blockchain', 0.788), ('technology', 0.5242), ('blockchain technology', 0.8675), ('blockchain', 0.788), ('technology', 0.5242)]",0.7949362397193909,1,the steel industry can improve visibility and traceability of its supply chain and drive sustainability and esg agendas with blockchain technology.,1,0.9739635586738586
circular supply chain,circular supply chains,circular supply chains,supply chain sustainability,supply chain sustainability,increase,0.21892731,0.8007,"[('circular', 0.4902), ('chain', 0.412), ('supply', 0.3722), ('radically', 0.0822), ('better', 0.0686), ('supply chain', 0.6969), ('environment circular', 0.5043), ('changing produce', 0.4134), ('possible radically', 0.173), ('contributing better', 0.1719), ('circular supply chain', 0.8007), ('changing produce use', 0.4211), ('contributing better environment', 0.3421), ('possible radically changing', 0.2779), ('makes', 0.2473)]",0.7948566675186157,1,circular supply chain : creating sustainable and efficient operations imagine your company making profits and contributing to a better environment. the circular supply chain makes this possible by radically changing how we produce and use products.,1,0.2189273089170456
focus corporate responsibility,corporate responsibility,corporate responsibility,supply chain sustainability,supply chain sustainability,increase,0.1938294,0.8888,"[('responsibility', 0.5356), ('corporate', 0.4564), ('focus', 0.4047), ('increased', 0.2125), ('corporate responsibility', 0.7448), ('focus corporate', 0.688), ('corporate', 0.4564), ('increased focus', 0.4544), ('increased', 0.2125), ('focus corporate responsibility', 0.8888), ('increased focus corporate', 0.7547), ('corporate', 0.4564), ('focus', 0.4047), ('increased', 0.2125)]",0.733574629,1,"interview with tf s president jennifer jewson on the launch of accelerate4impact, the new tf s 2030 strategy in the current climate of increased focus on corporate responsibility, together for sustainability (tf s), a collaborative initiative involving 53 major chemical companies, is setting new standards for sustainability in chemical supply chains through its continuous efforts.",1,0.19382940232753754
increasing complexity,global supply chain complexity,global supply chain complexity,supply chain sustainability,supply chain sustainability,increase,0.21525544,1,"[('complexity', 0.8444), ('increasing', 0.5458), ('increasing complexity', 1.0), ('complexity', 0.8444), ('increasing', 0.5458), ('increasing complexity', 1.0), ('complexity', 0.8444), ('increasing', 0.5458)]",0.7572583556175232,1,"in addition, the increasing complexity of the global supply chain and the need to adhere to stringent regulations have made it difficult to manage the steel supply chain.",1,0.21525543928146362
weak demand,low sustainability-driven demand,low sustainability-driven demand,supply chain sustainability,supply chain sustainability,decrease,0.7323078,0.9155,"[('demand', 0.7419), ('weak', 0.5315), ('weak demand', 0.9155), ('demand', 0.7419), ('weak', 0.5315), ('weak demand', 0.9155), ('demand', 0.7419), ('weak', 0.5315)]",0.7331057786941528,-1,"the automotive sector continues to struggle with weak demand, particularly for electric vehicles, which is affecting the entire supply chain microchips, engines, batteries, electric chargers, and so on.",-1,0.7323077917098999
suppliers aligned,supplier misalignment,supplier misalignment,supply chain sustainability,supply chain sustainability,decrease,0.5264134,0.6101,"[('suppliers', 0.5547), ('excluded', 0.2238), ('ambitions', 0.1804), ('viable', 0.177), ('new', 0.0918), ('suppliers aligned', 0.6101), ('product development', 0.4931), ('ambitions excluded', 0.3099), ('viable', 0.177), ('new', 0.0918), ('suppliers aligned', 0.6101), ('viable business partners', 0.6087), ('product development', 0.4931), ('ambitions excluded viable', 0.4175), ('new', 0.0918)]",0.775900662,-1,suppliers that are not aligned with their customer ' s ambitions are already being excluded as viable business partners for new product development.,-1,0.5264133810997009
suppliers aligned,supplier misalignment,supplier misalignment,supply chain sustainability,supply chain sustainability,effect,0.41722766,0.6101,"[('suppliers', 0.5547), ('excluded', 0.2238), ('ambitions', 0.1804), ('viable', 0.177), ('new', 0.0918), ('suppliers aligned', 0.6101), ('product development', 0.4931), ('ambitions excluded', 0.3099), ('viable', 0.177), ('new', 0.0918), ('suppliers aligned', 0.6101), ('viable business partners', 0.6087), ('product development', 0.4931), ('ambitions excluded viable', 0.4175), ('new', 0.0918)]",0.7418250441551208,0.5,suppliers that are not aligned with their customer ' s ambitions are already being excluded as viable business partners for new product development.,0,0
tougher,supply chain demands,supply chain demands,supply chain sustainability,supply chain sustainability,effect,0.97978824,1,"[('tougher', 1.0), ('tougher', 1.0), ('tougher', 1.0)]",0.7269504070281982,0.5,"brace yourself : 2025 is coming in hot with stricter sustainability regs, tougher supply chain demands, and investors who ' ll call you out if your claims do not measure up.",0,0
tougher supply chain,supply chain demands,supply chain demands,supply chain sustainability,supply chain sustainability,decrease,0.1551955,0.9139,"[('supply', 0.4954), ('demands', 0.4926), ('chain', 0.4199), ('tougher', 0.3646), ('supply chain', 0.7589), ('tougher supply', 0.7205), ('chain demands', 0.7167), ('demands', 0.4926), ('tougher', 0.3646), ('tougher supply chain', 0.9139), ('chain demands', 0.7167), ('supply', 0.4954), ('demands', 0.4926), ('tougher', 0.3646)]",0.7530644536018372,-1,"brace yourself : 2025 is coming in hot with stricter sustainability regs, tougher supply chain demands, and investors who ' ll call you out if your claims do not measure up.",-1,0.15519550442695618
tougher supply chain,supply chain demands,supply chain demands,supply chain sustainability,supply chain sustainability,effect,0.41259575,0.9139,"[('supply', 0.4954), ('demands', 0.4926), ('chain', 0.4199), ('tougher', 0.3646), ('supply chain', 0.7589), ('tougher supply', 0.7205), ('chain demands', 0.7167), ('demands', 0.4926), ('tougher', 0.3646), ('tougher supply chain', 0.9139), ('chain demands', 0.7167), ('supply', 0.4954), ('demands', 0.4926), ('tougher', 0.3646)]",0.7344173192977905,0.5,"brace yourself : 2025 is coming in hot with stricter sustainability regs, tougher supply chain demands, and investors who ' ll call you out if your claims do not measure up.",0,0
communication gaps stakeholders,supply chain traceability,supply chain traceability,supply chain sustainability,supply chain sustainability,decrease,0.26018625,0.8148,"[('stakeholders', 0.6092), ('complexity', 0.4485), ('communication', 0.3993), ('gaps', 0.3625), ('process', 0.3584), ('gaps stakeholders', 0.7047), ('stakeholders', 0.6092), ('communication gaps', 0.6086), ('complexity', 0.4485), ('process communication', 0.4439), ('communication gaps stakeholders', 0.8148), ('stakeholders', 0.6092), ('complexity process', 0.5312), ('process communication', 0.4439), ('gaps', 0.3625)]",0.7562220692634583,-1,"the complexity of the process and communication gaps between stakeholders can make it difficult to trace materials, products, and processes.",-1,0.26018625497817993
communication gaps stakeholders,supply chain traceability,supply chain traceability,supply chain sustainability,supply chain sustainability,effect,0.13515899,0.6261,"[('stakeholders', 0.5109), ('complexity', 0.4079), ('materials', 0.3959), ('trace', 0.3235), ('gaps', 0.2977), ('gaps stakeholders', 0.5697), ('complexity process', 0.5076), ('trace materials', 0.4765), ('products', 0.3447), ('communication', 0.3008), ('communication gaps stakeholders', 0.6261), ('complexity process communication', 0.5631), ('materials products processes', 0.5521), ('make difficult trace', 0.4155), ('difficult', 0.1987)]",0.7314653396606445,0.5,"the complexity of the process and communication gaps between stakeholders can make it difficult to trace materials, products, and processes.",0,0
high paying customers,sustainability-driven consumer demand,sustainability-driven consumer demand,supply chain sustainability,supply chain sustainability,increase,0.34000963,0.9216,"[('customers', 0.7024), ('paying', 0.4088), ('high', 0.3545), ('paying customers', 0.7516), ('customers', 0.7024), ('high paying', 0.6185), ('paying', 0.4088), ('high', 0.3545), ('high paying customers', 0.9216), ('customers', 0.7024), ('high paying', 0.6185), ('paying', 0.4088), ('high', 0.3545)]",0.8148422241210938,1,but why do companies decide to greenwash ? there are three main drivers that we see today : more high paying customers : about one third of consumers worldwide today are prepared to pay up to 25 % more for more sustainable products.,1,0.3400096297264099
cbam affects,CBAM sector coverage,CBAM sector coverage,sustainability reporting,sustainability reporting,effect,0.18014763,0.6935,"[('cbam', 0.5477), ('sectors', 0.4229), ('aluminium', 0.3761), ('fertilisers', 0.2399), ('affects', 0.2056), ('cbam affects', 0.6935), ('aluminium fertilisers', 0.4869), ('range sectors', 0.3962), ('steel', 0.3033), ('affects', 0.2056), ('cbam affects', 0.6935), ('steel aluminium fertilisers', 0.5299), ('sectors steel', 0.5199), ('range sectors', 0.3962), ('affects', 0.2056)]",0.6939548254013062,0.5,"cbam affects a range of sectors such as steel, aluminium, and fertilisers omnibus : a major potential change the omnibus package could significantly reshape how cbam impacts both european and norwegian companies.",0,0
greenhouse gas emissions,declining greenhouse gas emissions,declining greenhouse gas emissions,sustainability reporting,sustainability reporting,decrease,0.25594252,0.8356,"[('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas', 0.7591), ('gas emissions', 0.6978), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832), ('greenhouse gas emissions', 0.8356), ('greenhouse gas', 0.7591), ('emissions', 0.6865), ('greenhouse', 0.5823), ('gas', 0.3832)]",0.730075479,-1,"the president made the case for europe ' s industrial potential, highlighting its current strengths : one quarter of global clean tech patents, top quality infrastructure, vibrant sectors such as hydrogen and electrolysers, and all while greenhouse gas emissions in the energy sector continue to decrease.",-1,0.25594252347946167
carbon adjustment imports,introduction of the EU CBAM,EU CBAM,sustainability reporting,sustainability reporting,effect,0.31593233,0.8882,"[('imports', 0.5264), ('carbon', 0.493), ('adjustment', 0.314), ('mechanism', 0.2314), ('carbon adjustment', 0.6773), ('imports', 0.5264), ('carbon', 0.493), ('adjustment', 0.314), ('mechanism', 0.2314), ('carbon adjustment imports', 0.8882), ('imports', 0.5264), ('carbon', 0.493), ('adjustment', 0.314), ('mechanism', 0.2314)]",0.709308922,0.5,"in particular, the mechanism of carbon adjustment of imports has already been dubbed "" bureaucratic madness "" in the eu.",0,0
preparers improve sustainability,poor alignment of reporting requirements with sustainability performance,poor alignment of reporting requirements with sustainability performance,sustainability reporting,sustainability reporting,increase,0.20583008,0.7023,"[('compliance', 0.5292), ('sustainability', 0.5274), ('preparers', 0.3966), ('tangible', 0.3661), ('highlighting', 0.1304), ('improve sustainability', 0.5802), ('compliance formalities', 0.5447), ('preparers', 0.3966), ('highlighting tangible', 0.3654), ('instead', 0.0712), ('preparers improve sustainability', 0.7023), ('compliance formalities', 0.5447), ('actions preparers', 0.486), ('highlighting tangible actions', 0.4477), ('instead', 0.0712)]",0.7803231477737427,1,the sustainability reporting requirements seem to be too focused on compliance and formalities instead of highlighting tangible actions by preparers to improve sustainability.,1,0.20583008229732513
confusion reporting fatigue,regulatory simplification,regulatory simplification,sustainability reporting,sustainability reporting,decrease,0.7440575,0.916,"[('fatigue', 0.5802), ('reporting', 0.4719), ('confusion', 0.237), ('reduce', 0.1016), ('reporting fatigue', 0.8179), ('confusion reporting', 0.6212), ('reduce confusion', 0.4729), ('reporting', 0.4719), ('reduce', 0.1016), ('confusion reporting fatigue', 0.916), ('fatigue', 0.5802), ('reporting', 0.4719), ('confusion', 0.237), ('reduce', 0.1016)]",0.7609444260597229,-1,"the number of required data points is being reduced by around 70 %, with clearer instructions to reduce confusion and reporting fatigue.",-1,0.7440574765205383
